id;year;country;event;artist;title;points_total;rank
169;1968;S;3;Claes-Göran Hederström;Det börjar verka kärlek, banne mej;15;5
170;1968;SF;3;Kristina Hautala;Kun kello käy;1;16
171;1968;F;3;Isabelle Aubret;La source;20;3
172;1968;I;3;Sergio Endrigo;Marianne;7;10
173;1968;UK;3;Cliff Richard;Congratulations;28;2
174;1968;N;3;Odd Børre;Stress;2;13
175;1968;IRL;3;Pat McGeegan;Chance Of A Lifetime;18;4
176;1968;E;3;Massiel;La La La;29;1
177;1968;D;3;Wencke Myhre;Ein Hoch der Liebe;11;6
178;1968;YUG;3;Luci Kapurso & Hamo Hajdarhodzic;Jedan dan;8;7
179;1969;YUG;3;Ivan & 3M;Pozdrav svijetu;5;13
180;1969;LUX;3;Romuald;Catherine;7;11
181;1969;E;3;Salomé;Vivo cantando;18;1
182;1969;MC;3;Jean-Jacques;Maman;11;6
183;1969;IRL;3;Muriel Day;The Wages Of Love;10;7
184;1969;I;3;Iva Zanicchi;Due grosse lacrime bianche;5;13
185;1969;UK;3;Lulu;Boom Bang-A-Bang;18;1
186;1969;NL;3;Lenny Kuhr;De troubadour;18;1
187;1969;S;3;Tommy Körberg;Judy, min vän;8;9
188;1969;B;3;Louis Neefs;Jennifer Jennings;10;7
189;1969;CH;3;Paola;Bonjour, bonjour;13;5
190;1969;N;3;Kirsti Sparboe;Oj, oj, oj, så glad jeg skal bli;1;16
191;1969;D;3;Siw Malmkvist;Primaballerina;8;9
192;1969;F;3;Frida Boccara;Un jour, un enfant;18;1
193;1969;POR;3;Simone de Oliveira;Desfolhada portuguesa;4;15
194;1969;SF;3;Jarkko & Laura;Kuin silloin ennen;6;12
195;1970;NL;3;The Hearts Of Soul;Waterman;7;7
196;1970;CH;3;Henri Dès;Retour;8;4
197;1970;I;3;Gianni Morandi;Occhi di ragazza;5;8
198;1970;YUG;3;Eva Srsen;Pridi, dala ti bom cvet;4;11
199;1970;B;3;Jean Vallée;Viens l'oublier;5;8
200;1970;F;3;Guy Bonnet;Marie Blanche;8;4
201;1970;UK;3;Mary Hopkin;Knock, Knock Who's There;26;2
202;1970;LUX;3;David Alexandre Winter;Je suis tombé du ciel;0;12
203;1970;E;3;Julio Iglesias;Gwendolyne;8;4
204;1970;MC;3;Dominique Dussault;Marlène;5;8
205;1970;D;3;Katja Ebstein;Wunder gibt es immer wieder;12;3
206;1970;IRL;3;Dana;All Kinds Of Everything;32;1
207;1971;AUT;3;Marianne Mendt;Musik;66;16
208;1971;MAL;3;Joe Grech;Marija L-Maltija;52;18
209;1971;MC;3;Séverine;Un banc, un arbre, une rue;128;1
